TITLE	100%S-JS for 6 hrs
DATA TYPE	CD SPECTRUM
ORIGIN	JASCO
OWNER	
DATE	2025/11/18
TIME	19:14:08
SPECTROMETER/DATA SYSTEM	JASCO Corp., J-1500, Rev. 1.00
DELTAX	-1
XUNITS	NANOMETERS
YUNITS	CD [mdeg]
Y2UNITS	LD [dOD]
Y3UNITS	HT [V]
Y4UNITS	ABSORBANCE
FIRSTX	  700.0000
LASTX	  300.0000
NPOINTS	     401
FIRSTY	    -4.31711
MAXY	    23.13002
MINY	    -9.96572
XYDATA
Channel 1
	0	15	30	45	60	75	90	105	120	135	150	165	180	195	210	225	240	255	270	285	300	315	330	345	360	375	390	405	420
655	-5.7591	-4.14702	-1.58519	-2.3346	-3.06174	-2.76942	-3.06677	-4.45125	-4.64298	-3.68588	-3.7731	-4.06739	-3.40622	-4.58823	-4.75672	-5.64382	-6.06427	-5.33054	-6.10893	-5.50825	-5.04409	-4.09852	-4.29046	-5.3636	-5.21357	-3.88515	-3.46361	-3.01089	-2.2239
654	-5.9343	-3.4014	-1.28529	-2.26376	-2.55994	-2.59903	-2.84412	-3.87266	-3.97582	-3.56939	-3.38087	-3.8695	-3.19803	-3.99107	-4.59515	-5.12698	-5.72196	-5.43365	-5.63945	-5.15276	-4.70719	-3.88235	-3.80681	-5.02608	-4.62004	-3.39965	-3.21182	-2.95782	-1.92151
653	-5.64712	-2.68433	-0.975493	-2.1795	-2.0518	-2.60706	-2.54948	-3.26074	-3.72949	-3.60163	-3.47189	-3.89083	-3.30131	-3.74589	-4.50903	-4.92829	-5.54881	-5.16804	-5.53558	-4.955	-4.37871	-3.16519	-3.48793	-4.48298	-4.71997	-3.44432	-3.1743	-2.96754	-2.1058
652	-5.73141	-3.22229	-1.58317	-2.37279	-2.75582	-2.94831	-3.08359	-3.68399	-3.87725	-3.9877	-3.89021	-4.34119	-3.8701	-3.97231	-5.19882	-5.33651	-5.96797	-5.40732	-6.03662	-5.28232	-5.08325	-3.55189	-3.79156	-4.84172	-5.06208	-3.62899	-3.62654	-3.19402	-2.64996
651	-5.75894	-3.71376	-1.39992	-1.85411	-2.75042	-2.79359	-3.04271	-3.45568	-3.94155	-4.16497	-3.33855	-4.49338	-4.34953	-4.24584	-5.36914	-5.15702	-6.01819	-5.39547	-5.68661	-5.38101	-4.95356	-3.99841	-3.69598	-4.78078	-5.05741	-3.61732	-3.74262	-2.95728	-2.97003
650	-5.73646	-2.95709	-0.926422	-1.59128	-2.5905	-2.53942	-2.84663	-3.51551	-3.55229	-4.09772	-3.31836	-4.39591	-4.65225	-4.44216	-5.21296	-5.19835	-5.67912	-4.95118	-5.52448	-5.26194	-4.62946	-3.9727	-3.38297	-4.98195	-4.88093	-3.88611	-3.47299	-3.24012	-3.16441
649	-5.72598	-2.89183	-0.696306	-1.32133	-2.5063	-2.71909	-3.06447	-3.25538	-3.28974	-4.3872	-3.55615	-4.52452	-4.66796	-4.45787	-4.98504	-5.05832	-5.45791	-4.79509	-5.77237	-5.00492	-4.82188	-3.90842	-3.41516	-5.15513	-4.60821	-4.05023	-3.84841	-3.35814	-3.21992
648	-5.97164	-2.96757	-0.701466	-0.587466	-2.36683	-2.42587	-2.70337	-3.20481	-3.20594	-4.58415	-3.32214	-4.27098	-4.50497	-4.44586	-5.10142	-4.84203	-5.49092	-4.59376	-5.80032	-4.77334	-4.48835	-4.04679	-3.19427	-4.54512	-3.98143	-4.12157	-3.91906	-3.36753	-3.12107
647	-6.54373	-3.19169	-0.774367	-0.471679	-2.19869	-2.41001	-2.86396	-3.32482	-3.2129	-4.90168	-3.84	-4.21856	-4.87936	-4.37682	-5.01179	-4.64084	-5.6315	-4.37578	-5.89782	-4.98998	-4.58126	-4.28293	-3.78317	-4.93179	-4.09276	-4.36099	-4.24447	-3.27977	-3.23169
646	-6.49089	-3.16154	-0.766743	-0.304125	-1.89897	-2.48729	-2.89696	-3.02044	-3.45637	-4.5943	-3.60002	-4.027	-4.75855	-4.75898	-5.01619	-4.62118	-5.76528	-4.33153	-5.68459	-4.55954	-4.60988	-3.95044	-3.74547	-5.04079	-3.91942	-4.84655	-4.18997	-3.55713	-3.21459
645	-6.5495	-4.162	-0.857489	0.127525	-1.84441	-2.6966	-3.1253	-3.21933	-3.64499	-4.50393	-3.69801	-4.18363	-4.92542	-4.9692	-5.18358	-4.77861	-5.7315	-4.46725	-5.64397	-4.35971	-4.35212	-4.57958	-3.96358	-5.5302	-3.89582	-5.02809	-4.45845	-3.43277	-3.27362
