TITLE	100%S-JS after 7-30 hrs
DATA TYPE	CD SPECTRUM
ORIGIN	JASCO
OWNER	
DATE	2025/11/18
TIME	19:18:39
SPECTROMETER/DATA SYSTEM	JASCO Corp., J-1500, Rev. 1.00
DELTAX	-1
XUNITS	NANOMETERS
YUNITS	CD [mdeg]
Y2UNITS	LD [dOD]
Y3UNITS	HT [V]
Y4UNITS	ABSORBANCE
FIRSTX	  700.0000
LASTX	  300.0000
NPOINTS	     401
FIRSTY	    -1.86355
MAXY	    21.57214
MINY	   -24.18535
XYDATA
Channel 1
	0	1.01667
406	-2.2566	-1.85164
405	-2.25625	-1.71632
404	-1.85408	-1.74681
403	-1.92376	-1.757
402	-2.00402	-1.73897
401	-2.13969	-1.8192
400	-2.11082	-1.80213
399	-2.04023	-2.11133
398	-2.06479	-2.16213
397	-2.13508	-2.32868
396	-1.95985	-2.09345
395	-2.03004	-1.90693
394	-1.91878	-1.83052
393	-1.86079	-1.35752
392	-1.56615	-1.18959
391	-1.5447	-1.18122
390	-1.56821	-0.953605
389	-1.49178	-0.694501
388	-1.55334	-0.691688
387	-1.43637	-0.577774
386	-1.46843	-0.65208
385	-1.29238	-0.715625
384	-1.24054	-0.796701
383	-1.04421	-0.349802
382	-0.849088	-0.363129
381	-0.753775	-0.570154
380	-0.773601	-0.521824
379	-0.786858	-0.59097
378	-0.721058	-0.573584
377	-0.600458	-0.594205
376	-0.319964	-0.345932
375	-0.307908	-0.405057
374	-0.252542	-0.375418
373	-0.494591	-0.365737
372	-0.38676	-0.221282
371	-0.0255262	-0.286862
370	0.121771	-0.0731894
369	-0.0914295	-0.295039
368	-0.231833	-0.543024
367	-0.290835	-0.690439
366	-0.0988789	-0.618479
365	0.113782	-0.63912
364	0.189527	-0.390785
363	0.131256	-0.0689536
362	0.452896	0.222066
361	0.740722	0.530307
360	1.31539	1.08303
359	1.58176	1.44227
358	1.73805	1.56949
357	1.9052	1.93847
356	2.14095	2.14657
355	2.46291	2.04597
354	2.37506	1.96563
353	2.45342	1.92584
352	2.64097	2.21511
351	2.54872	2.3175
350	2.67375	2.23081
349	2.74748	2.35539
348	2.99434	2.53354
347	3.04115	2.74442
346	2.9685	2.76523
345	2.91912	2.80079
344	2.92109	2.9009
343	3.04994	2.82853
342	3.02756	2.77438
341	3.25399	3.22041
340	3.39137	3.16242
339	3.51784	3.25071
338	3.6493	3.51307
337	3.7489	3.65104
336	3.81613	3.67199
335	3.89167	3.86933
334	3.71101	3.93179
333	3.38587	3.73268
332	2.83929	3.78566
331	2.70407	3.87468
330	2.73838	3.59048
329	2.41147	3.46206
328	2.45227	3.62719
327	2.36468	3.57909
326	2.64736	3.16714
325	2.57754	3.11469
324	3.10967	2.78108
323	2.79551	2.51294
322	3.07504	2.5124
321	2.80847	2.31867
320	2.48014	1.81285
319	2.64184	1.77916
318	2.26533	1.56179
317	2.06795	1.39442
316	1.9227	1.38522
315	1.54631	1.0841
314	1.45998	1.13797
313	1.37377	1.04565
312	1.47677	0.977891
311	1.24209	0.578865
310	1.12928	0.566173
309	0.780772	0.397424
308	0.625622	0.274506
307	0.203175	-0.259504
306	-0.35832	-0.509576
305	-0.654894	-0.687083
304	-1.09195	-0.940338
303	-1.08052	-1.04827
302	-1.22739	-1.27735
301	-1.36743	-1.60188
300	-1.63801	-2.06887
Channel 3
	0	1.01667
700	-1.86355	-2.58651
699	-1.81579	-2.69361
698	-2.05582	-2.69583
697	-2.10952	-2.64907
696	-2.09538	-2.87525
695	-1.96366	-2.95005
694	-2.0503	-2.87842
693	-2.48104	-2.81005
692	-2.42006	-2.88999
691	-2.8742	-2.92224
690	-2.65256	-2.68269
689	-2.25663	-2.43693
688	-2.32657	-2.07333
687	-2.00182	-2.17122
686	-2.09494	-2.13071
