TITLE	100% R-JS 6hrs to 26 hrs
DATA TYPE	CD SPECTRUM
ORIGIN	JASCO
OWNER	
DATE	2025/11/15
TIME	13:56:45
SPECTROMETER/DATA SYSTEM	JASCO Corp., J-1500, Rev. 1.00
DELTAX	-1
XUNITS	NANOMETERS
YUNITS	CD [mdeg]
Y2UNITS	LD [dOD]
Y3UNITS	HT [V]
Y4UNITS	ABSORBANCE
FIRSTX	  700.0000
LASTX	  300.0000
NPOINTS	     401
FIRSTY	     2.21820
MAXY	    23.24519
MINY	    -7.87398
XYDATA
Channel 1
658	0.877074	0.904209	0.813199	1.6332	0.738763	0.858585	1.49988	1.34193	1.6806	1.08918	0.665513	1.17841	1.05907	1.31566	1.48621	1.55433	2.03972	1.25095	0.807241	0.920692	1.51866	0.42314	1.16577	1.57708	1.55384	1.64748	1.08911	0.594018	1.24516	1.57721	2.1728	1.35231	0.954919	0.579978	1.04193	1.56348	0.80925	1.2898	0.357389	2.04522	1.51078
657	0.748058	0.999021	0.805795	1.19568	0.59381	0.799268	1.37581	1.26561	1.90774	1.00193	0.607952	1.25973	0.929375	0.906868	1.57823	1.53514	1.87896	1.11021	0.960233	0.822474	1.62808	0.190169	1.23839	1.6159	1.23637	1.54936	1.4855	0.755374	0.926841	1.31621	1.97177	1.31936	1.48418	0.572653	0.744818	1.46556	0.945002	1.14612	0.0812531	1.80361	1.37648
656	1.21438	1.33353	1.03166	1.33823	0.600172	1.18347	1.48121	1.8882	2.13212	0.933022	1.06343	1.50068	1.15008	1.17014	1.63464	1.89651	1.83151	1.31159	1.41067	0.899583	1.93671	0.679118	1.70952	1.92546	1.20577	2.14106	1.66868	0.692976	1.23196	1.64569	1.94074	1.67055	1.72188	0.690762	0.939025	1.35666	1.8155	1.36546	0.336316	1.90255	1.61328
655	1.02754	1.00665	0.716089	1.1854	0.470259	0.941056	1.093	2.14447	2.41188	0.511682	1.33891	1.15639	1.11411	1.05643	1.48765	2.16374	1.50775	1.05286	1.29727	0.603806	1.89377	1.00743	1.98058	1.98961	0.858887	1.90512	1.79418	0.450541	1.268	1.5097	1.75737	1.48817	1.61118	0.903403	0.835171	1.14471	1.51563	1.26337	0.565879	1.66775	1.45641
654	0.970371	1.1037	0.330571	1.46864	0.736925	1.07151	1.1324	2.28221	2.66083	0.718019	1.25183	1.41056	1.45998	1.52145	1.5755	2.42685	1.77957	1.3819	1.5526	0.605015	1.64003	1.29817	1.79611	2.14331	0.729222	2.00073	1.45554	1.07294	1.3281	1.40064	1.38687	1.93769	1.74566	0.961417	0.841284	1.17902	1.47638	1.27378	0.990372	1.62555	1.37737
653	0.655513	0.789978	0.0347025	0.957854	0.616124	0.530484	0.283271	1.61998	1.93719	0.559727	0.75218	0.870984	1.02341	1.25819	1.2693	1.81889	1.41805	1.30442	1.44028	-0.0820528	1.5406	0.740112	1.33813	1.81473	0.650849	1.50171	1.24326	0.635725	1.13673	0.836901	1.09493	1.73388	1.26135	0.798907	0.717919	0.898016	0.945247	0.748271	0.659835	1.03488	0.774457
652	0.841931	0.973217	-0.0321195	0.990878	0.992909	0.362392	0.0718664	1.44914	1.45724	0.686305	1.01457	0.892388	1.04886	1.06212	1.06475	1.57258	0.818446	1.01661	1.69366	0.205395	1.47778	0.834405	1.11706	2.0878	0.495545	1.50232	1.2401	0.854578	1.13795	0.865135	1.19513	1.60775	1.47165	0.977465	0.758196	0.874716	0.979081	0.984353	0.94877	1.08068	1.06152
651	0.790969	1.18216	0.0983238	1.21231	1.4628	0.576111	0.732781	1.29787	1.79722	1.00899	1.38858	1.27499	1.27117	1.44066	0.956549	1.3315	0.996947	1.32505	2.0616	0.468286	1.76631	0.967428	1.4439	2.39337	0.94344	1.63068	0.937551	1.27165	1.56458	1.31781	1.44933	1.73365	2.12042	1.11698	1.02814	1.36065	1.02362	1.14332	1.45886	1.14506	1.20999
650	0.555089	0.863935	0.434397	1.21796	1.02029	0.784086	0.71221	1.15963	1.56193	0.885392	1.34205	1.42039	1.31606	1.29493	0.869933	1.20657	0.874107	1.19759	1.79812	0.790275	1.95582	1.22396	1.19549	1.93071	1.2329	2.11047	1.08299	1.91528	1.44423	1.34613	1.39486	1.4762	2.07279	1.12326	0.79513	1.21724	1.13855	1.34412	1.565	1.32023	1.18646
649	0.239637	0.640199	0.615616	1.69098	1.18142	0.679257	0.669846	0.851633	1.07053	0.868855	1.36269	1.58005	1.38535	1.27885	0.816637	1.45096	0.944803	1.12305	1.66336	0.991799	1.58062	1.51482	1.508	2.15246	1.56167	1.99817	0.676428	1.89859	1.86243	1.44153	1.35359	1.58135	1.92451	1.11645	0.669244	0.960294	1.0202	1.30929	1.6476	1.27616	1.15652
