TITLE	100% R-JS 72 hrs
DATA TYPE	CD SPECTRUM
ORIGIN	JASCO
OWNER	
DATE	2025/11/17
TIME	11:45:33
SPECTROMETER/DATA SYSTEM	JASCO Corp., J-1500, Rev. 1.00
DELTAX	-1
XUNITS	NANOMETERS
YUNITS	CD [mdeg]
Y2UNITS	LD [dOD]
Y3UNITS	HT [V]
Y4UNITS	ABSORBANCE
FIRSTX	  700.0000
LASTX	  300.0000
NPOINTS	     401
FIRSTY	     1.30980
MAXY	    29.84932
MINY	   -27.41811
XYDATA
Channel 1
	0	1.01667
590	4.86897	4.61397
589	4.58925	4.52741
588	4.28162	4.39416
587	4.08389	4.23607
586	3.77476	3.99886
585	3.36351	3.61694
584	2.85927	3.05291
583	2.09027	2.29484
582	1.07969	1.41544
581	-0.149273	0.32262
580	-1.42936	-0.879883
579	-2.77634	-2.23894
578	-4.29735	-3.75073
577	-5.73426	-5.35133
576	-7.29287	-7.05271
575	-9.04077	-8.78981
574	-11.0306	-10.6528
573	-13.1496	-12.5837
572	-15.3735	-14.6272
571	-17.6868	-16.7811
570	-19.8495	-18.9476
569	-21.8835	-20.9562
568	-23.6616	-22.8168
567	-25.0393	-24.44
566	-26.0567	-25.8627
565	-26.8187	-26.8245
564	-27.1979	-27.5031
563	-27.4181	-27.8075
562	-27.3053	-27.6544
561	-27.1317	-27.1907
560	-26.7487	-26.5925
559	-26.2244	-25.7765
558	-25.6247	-24.8661
557	-24.9921	-23.7842
556	-24.0314	-22.5348
555	-22.909	-21.2685
554	-21.7281	-20.0098
553	-20.5739	-18.9512
552	-19.5433	-18.1431
551	-18.6215	-17.5002
550	-17.8557	-17.1866
549	-17.2028	-17.0763
548	-16.614	-17.0862
547	-16.1126	-17.3121
546	-15.9112	-17.5578
545	-15.8721	-17.712
544	-16.0316	-17.8338
543	-16.4901	-17.9406
542	-17.137	-17.9596
541	-17.9478	-17.9509
540	-18.9506	-18.114
539	-20.0932	-18.4602
538	-21.2511	-18.9259
537	-22.215	-19.5636
536	-23.0037	-20.4109
535	-23.6068	-21.3894
534	-23.8831	-22.1658
533	-23.8805	-22.8299
532	-23.7056	-23.291
531	-23.4639	-23.453
530	-23.0394	-23.2364
529	-22.2927	-22.7785
528	-21.5076	-22.0019
527	-20.4669	-21.068
526	-19.332	-19.9762
525	-18.1533	-18.9445
524	-16.7572	-17.7786
523	-15.3573	-16.6079
522	-13.7865	-15.3199
521	-12.1323	-14.0785
520	-10.5709	-12.7108
