TITLE	10% R-JS for 6 hrs
DATA TYPE	CD SPECTRUM
ORIGIN	JASCO
OWNER	
DATE	2025/11/19
TIME	18:42:04
SPECTROMETER/DATA SYSTEM	JASCO Corp., J-1500, Rev. 1.00
DELTAX	-1
XUNITS	NANOMETERS
YUNITS	CD [mdeg]
Y2UNITS	LD [dOD]
Y3UNITS	HT [V]
Y4UNITS	ABSORBANCE
FIRSTX	  900.0000
LASTX	  300.0000
NPOINTS	     601
FIRSTY	     8.51568
MAXY	    14.14348
MINY	   -12.92692
XYDATA
Channel 1
859	-1.61563	-1.06063	-5.3441	-1.46094	-6.11843	-7.27562	-7.01045	-0.792529	-5.76344	-4.73065	-5.70916	-10.3571	-3.22418	-6.15806	-6.55739	-7.16205	-8.74082	-9.26879	-5.31056	-9.6595	-3.72821	-7.28218	-7.10377	-6.67727	-7.08523	-3.76901	-9.50067	-4.79124	-8.15939	-6.86837	-6.43144	-6.88089	-11.7738	-5.8632	-9.49649	-5.65245	-7.19487
858	-0.834788	-0.853279	-4.14525	-1.87981	-5.75399	-6.29384	-5.58265	-0.474657	-5.28607	-3.82757	-3.89652	-9.57256	-2.28884	-4.57152	-6.48948	-7.13079	-7.8988	-9.0551	-4.63161	-9.5163	-4.07445	-8.4805	-7.76022	-6.83862	-5.67956	-3.34164	-8.7919	-5.37859	-7.45863	-5.62801	-7.49252	-5.98873	-9.9269	-5.71494	-8.13036	-5.53777	-6.12857
857	-1.63717	-2.55187	-4.92315	-1.31241	-6.55728	-7.05648	-5.89815	-1.60243	-5.27861	-3.72162	-4.89471	-9.74666	-4.24745	-5.76787	-8.53617	-7.87203	-9.31083	-9.98579	-6.14119	-9.95918	-5.12919	-8.67505	-8.64802	-8.01079	-7.612	-4.26514	-10.1027	-6.45962	-8.16375	-6.37277	-7.74819	-7.43167	-9.51691	-7.37931	-9.27652	-5.87624	-7.62007
856	-1.5495	-2.64655	-3.34622	-3.98827	-4.7689	-7.54077	-4.94973	-3.16451	-4.94975	-3.35897	-4.70778	-9.33203	-4.83207	-5.65417	-8.31883	-8.72537	-10.1745	-8.71842	-5.92809	-9.24137	-5.02487	-8.16054	-9.23103	-8.09388	-7.03757	-5.01961	-8.45483	-5.62109	-7.11821	-7.32856	-6.5933	-6.9838	-9.16321	-7.13604	-10.7806	-6.38784	-7.19062
855	-0.617531	-2.73064	-2.41141	-2.93993	-4.92409	-6.09516	-4.60832	-3.46533	-4.80002	-3.44437	-4.72502	-8.60102	-5.66292	-6.39187	-8.28185	-8.14113	-10.6667	-8.51011	-5.92839	-9.31205	-6.3184	-7.13622	-10.4246	-9.09361	-6.97404	-6.03087	-7.61438	-4.69275	-7.55688	-4.88067	-5.21574	-7.25842	-7.13563	-6.74864	-9.44227	-6.19473	-6.09798
854	0.435064	-1.32892	-0.358235	-2.38893	-4.81311	-5.53159	-4.54388	-4.13659	-4.37349	-4.19918	-5.02786	-7.69666	-6.10277	-7.0758	-7.18397	-7.789	-9.8085	-8.25062	-5.83769	-7.02064	-7.9979	-9.01853	-11.2677	-7.67487	-6.36479	-6.04974	-7.31276	-4.95091	-7.96046	-5.46868	-5.22467	-6.96353	-6.52223	-7.22272	-9.77526	-6.60542	-5.9711
853	1.65389	-0.390226	-1.06831	-0.611833	-4.45695	-5.57795	-5.50585	-3.6254	-4.43599	-3.70693	-4.76084	-7.24638	-6.08112	-7.10746	-6.35178	-7.36616	-7.50241	-7.05178	-6.07154	-7.18342	-5.83431	-8.71775	-9.70536	-5.95801	-6.01173	-5.45358	-6.07472	-5.00108	-6.31824	-6.4139	-4.58683	-7.62632	-5.81403	-7.31145	-8.43955	-5.68756	-6.31436
852	1.52174	0.00407943	-1.15002	-0.879263	-4.9638	-5.30977	-5.18385	-4.50791	-4.28108	-4.94005	-5.47044	-6.48992	-7.34615	-7.04966	-7.42677	-6.7865	-6.1454	-6.38535	-7.34401	-6.11556	-4.93306	-7.17646	-10.0396	-6.08407	-6.93366	-5.35518	-6.11113	-5.66195	-5.11975	-6.65274	-6.25138	-7.55692	-5.71733	-6.19092	-6.5004	-5.7134	-5.90732
851	0.525391	-1.4068	-1.99934	-2.3324	-5.00475	-5.62059	-5.41756	-5.80225	-5.0187	-6.49713	-6.63716	-6.37621	-8.87669	-7.37198	-8.04565	-6.74614	-7.25159	-6.42977	-7.62794	-6.73282	-5.86674	-7.8326	-9.66123	-7.48504	-8.02479	-6.29813	-6.68866	-5.25014	-4.25547	-6.57744	-6.16181	-7.8227	-5.92231	-6.87525	-6.74396	-6.33363	-6.60208
850	-0.537505	-1.05733	-1.52599	-1.84355	-3.75985	-5.10417	-5.3754	-5.27637	-5.34162	-6.69419	-6.62611	-5.66658	-9.0195	-8.14325	-7.25588	-5.48654	-6.07832	-5.45568	-7.52434	-6.26116	-4.60742	-6.21201	-8.45507	-6.81975	-7.35793	-5.14248	-6.31515	-4.68165	-3.69389	-5.83311	-4.88372	-6.40526	-5.15456	-6.52595	-6.6002	-5.3934	-6.24274
