TITLE	100% R-JS for 6hrs
DATA TYPE	CD SPECTRUM
ORIGIN	JASCO
OWNER	
DATE	2025/11/14
TIME	17:45:34
SPECTROMETER/DATA SYSTEM	JASCO Corp., J-1500, Rev. 1.00
DELTAX	-1
XUNITS	NANOMETERS
YUNITS	CD [mdeg]
Y2UNITS	LD [dOD]
Y3UNITS	HT [V]
Y4UNITS	ABSORBANCE
FIRSTX	  700.0000
LASTX	  300.0000
NPOINTS	     401
FIRSTY	    -6.43526
MAXY	     5.68291
MINY	    -9.83073
XYDATA
Channel 1
656	-1.02007	-0.499203	-1.30691	-0.287754	-4.55607	-4.58648	-3.49584	-1.67016	-1.75813	-1.76012	-1.84997	-1.57195	-1.70134	-2.63663	-3.09953	-3.14432	-3.14952	-2.29073	-1.30623	-1.28728	-0.853681	-0.39619	-0.595252	-1.19934	0.137762	0.105454	-0.274805	-0.646409	-0.271175	-0.524504	-0.473941	-0.00105702	-0.444619	-0.359101	-0.174704	-0.803131	0.311252
655	-0.914259	-0.560281	-1.03089	-1.18671	-4.78308	-4.56011	-3.72533	-1.95015	-1.9922	-2.12034	-2.06171	-1.80229	-1.58837	-3.12443	-3.30217	-3.63788	-3.30348	-2.42276	-1.30533	-0.965643	-0.698266	-0.444969	-0.872911	-1.2596	-0.0999309	-0.36207	-0.246673	-0.81341	-0.227864	-0.70911	-0.36413	0.0781185	-0.893475	-0.361094	-0.280763	-1.03731	0.209733
654	-0.386875	-0.671345	-1.41529	-1.11984	-4.7039	-4.83902	-3.76209	-2.09977	-2.30948	-2.16219	-2.19528	-2.03165	-1.86367	-3.41422	-3.27338	-4.30187	-3.63051	-2.75586	-1.64203	-1.05742	-0.750619	-0.565943	-1.53775	-0.970005	-0.257963	-0.469202	-0.0921805	-1.08499	-0.00853656	-1.04471	-0.305706	-0.269359	-0.720176	-0.553688	-0.238814	-1.38367	0.0279953
653	-0.769831	-0.544652	-2.02089	-1.15344	-5.52865	-4.70757	-3.65093	-2.35846	-2.15837	-2.35028	-2.10194	-1.87751	-2.35693	-3.20433	-3.42459	-4.46401	-3.29035	-2.68529	-1.31319	-1.21575	-0.751582	-0.635019	-1.52178	-0.904772	-0.451487	-0.403123	0.215475	-1.21127	0.0874774	-0.957679	-0.27633	-0.162519	-0.773166	-0.548499	-0.24542	-1.4146	-0.183292
652	-0.996295	-1.25807	-2.28701	-1.59894	-5.89368	-5.50727	-4.00103	-2.83219	-2.83715	-2.87152	-2.50945	-2.39279	-2.95171	-3.55942	-4.00205	-4.65276	-3.66024	-2.78835	-1.65301	-1.71614	-1.08437	-1.09265	-1.3556	-1.37524	-0.788515	-0.735105	0.0294527	-1.35874	-0.228821	-1.29373	-0.4501	-0.415603	-0.450548	-0.661166	-0.636878	-1.53883	-0.633551
651	-0.791651	-1.59764	-2.06508	-1.60355	-6.46602	-5.89771	-4.44463	-3.01775	-3.47757	-2.81745	-2.43702	-2.31296	-3.11728	-3.69149	-4.28745	-4.6395	-4.20415	-2.57375	-1.62793	-2.00702	-1.63255	-0.878339	-1.59243	-1.05395	-0.583967	-0.904789	-0.00712792	-1.49883	-0.103312	-1.1645	-0.373733	-0.632305	-0.418153	-0.871967	-0.443985	-1.40287	-0.483025
650	0.1809	-1.38725	-1.45939	-1.25944	-6.72246	-5.34737	-4.07688	-3.31224	-4.05542	-2.56099	-2.66046	-2.2658	-3.12698	-3.97431	-4.20348	-4.65718	-3.88551	-2.49159	-1.6278	-1.99139	-1.40787	-0.686373	-1.30871	-0.664852	-0.0468822	-1.04895	0.256466	-0.904158	-0.0480861	-1.10865	-0.467559	-0.395537	-0.313581	-0.571425	0.121878	-0.96125	-0.415986
649	-0.125152	-1.10316	-1.29136	-1.23552	-6.96164	-6.52721	-4.31566	-3.74522	-4.1667	-3.02254	-3.23677	-2.92414	-3.40137	-4.50487	-4.88773	-4.84957	-4.60538	-2.95564	-2.00061	-1.8768	-1.78279	-1.06752	-1.63124	-1.01058	-0.595275	-1.53437	0.23802	-0.980126	-0.634244	-1.34085	-0.560145	-0.437755	-0.60068	-0.866511	-0.0367201	-1.0963	-0.706103
648	0.113788	-0.769169	-0.484821	-1.25324	-7.38715	-6.63181	-4.38214	-3.83174	-4.39443	-3.84172	-3.62953	-3.22011	-3.68528	-4.8641	-5.44838	-5.35723	-5.00219	-3.51758	-2.25872	-2.56385	-2.10565	-1.58429	-1.77861	-0.929961	-1.41202	-1.26638	0.328081	-0.975162	-0.931589	-1.3038	-1.01162	-0.407452	-0.90309	-0.687571	-0.0998739	-1.03932	-0.941367
647	-0.166291	-0.959556	-0.298175	-1.34965	-7.62661	-7.05385	-4.74378	-3.78525	-4.64558	-4.09119	-3.98925	-3.49373	-4.04609	-4.85191	-5.7013	-5.4586	-5.07843	-3.56032	-2.2477	-2.80143	-2.22592	-1.46724	-1.58494	-1.40004	-1.32254	-1.13342	0.138466	-0.851306	-0.888747	-1.14086	-1.25064	-0.0565201	-0.7536	-0.744798	0.0464619	-0.931454	-0.844473
646	-0.745288	-0.661629	0.364661	-0.853408	-7.88207	-7.39779	-5.62098	-3.70168	-4.84456	-4.10128	-4.08443	-3.97	-4.47223	-5.12579	-6.19074	-5.27803	-4.80859	-3.59195	-2.07716	-2.80171	-2.13523	-1.38241	-1.38793	-1.45186	-1.08096	-0.887165	0.267633	-0.134846	-0.730118	-0.93004	-1.25527	-0.105274	-0.748705	-0.668541	0.209766	-0.827364	-1.07213
645	-1.21947	0.353368	0.612564	-1.22878	-7.82748	-7.5908	-6.65603	-3.96223	-5.85232	-4.53514	-4.58018	-4.73233	-4.71566	-6.26444	-6.33002	-5.80684	-5.40159	-3.77865	-2.76752	-3.41859	-2.53426	-1.98225	-1.64647	-1.49933	-1.56783	-1.08312	0.560286	-0.434442	-1.15303	-1.48404	-1.67574	-0.274609	-0.470897	-0.847407	-0.16272	-1.11737	-1.5303
